slug,readable,sellable,notes
"da5671f0","yes","no","letters are inaccurate"
"111a00be","yes","yes",""
"b02d02b4","struggle","no","letters are too small"
"e081b242","yes","no","too close"
"abea0f8d","no","no",""
"e63a41af","yes","no","""V"" and ""a"" are inaccurate"
"24e680ff","no","no",""
"369ed7b3","struggle","no",""
"6deefda9","struggle","no",""
"196910b7","yes","no","too many stones"
"46439e3b","yes","yes",""
"a2173b1b","yes","no","""i"" cross ""t"""
"3cd2b867","struggle","no",""
"fd523a17","yes","yes",""
"496fdb73","struggle","no",""
"fea9f594","yes","no","""V"" is inaccurate"
"60bbb91f","yes","yes",""
"37ab540f","yes","no","letters are too close to each other"
"22984c2d","yes","yes",""
"492f2264","yes","no","inaccurate"
"bf0a5cc0","struggle","no",""
"d966692a","no","no",""
"5a950a6c","yes","no","inaccuarte"
"825be43d","yes","no","inaccurate"
"a64ffc5c","yes","no","inaccuarate"
"2dd3acbb","yes","yes",""
"797e9a4b","yes","yes",""
"b12fa951","yes","yes",""
"e11f74fc","yes","yes",""
"ac96316d","yes","no","inaccurate"
"1b7ebcb0","yes","no","too close"
"e5c08736","yes","no","too close"
"a9606325","yes","yes",""
"9f709566","yes","yes",""
"7cd5605d","yes","yes",""
"7098c1a0","yes","no","too many stones"
"7a4886f4","yes","no","too close"
"3bf95b5a","yes","yes",""
"57171783","yes","yes",""
"9afe431e","yes","yes",""
"2c0898e4","yes","no","not equal spacing"
"ced67b56","yes","yes",""
"614fee96","yes","yes",""
"849cd728","yes","yes",""
"2a6428aa","yes","no","inacurate"
"1e45583d","struggle","no",""
"1619d7f4","yes","yes",""
"e0e41947","yes","no","inaccurate"
"0f320099","yes","yes",""
"14303d54","no","no",""
"d2a8395f","yes","no","inaccurate"
"d5f09d4f","yes","yes",""
"9b84f150","yes","yes",""
"703eab4a","yes","yes",""
"1191f008","yes","yes",""
"4908417d","yes","no","inaccurate"
"7e6a3886","yes","no","inaccurate"
"fe95d67e","yes","yes",""
"0b0b3fd4","yes","yes",""
"549af2ba","yes","yes",""
"42e785f5","yes","no","too close"
"ce77af0e","no","no",""
"34c9c2a4","yes","no","inaccuarate"
"db9e6413","no","no",""
"b1a26343","yes","no","inaccurate"
"e64d769d","yes","no","too close"
"185ee896","yes","no","inaccurate"
"b67cfe0e","yes","no","inaccurate"
"6547773b","no","no",""
"4052d5ad","yes","no","inaccuarte"
"9c4a1048","no","no",""
"2c4d1173","struggle","no","inaccurate
"
"4845392d","yes","yes",""
"20c16d25","yes","no","too close"
"0335db6f","struggle","no","inaccurate"
"64c9c54f","yes","no","inaccurate"
"a9adfc51","yes","no","too close"
"ee9577a4","yes","no","too close"
"a9a0afaf","yes","no","inaccurate"
"c73e1160","yes","no","inaccurate
"
"fb621b3d","yes","no","too close"
"1195a2d9","yes","no","""V""  and ""n"" are inaccurate"
"22f3e71f","yes","yes",""
"60137352","yes","yes",""
"d29601c0","yes","yes",""
"012f6961","no","no",""
"dc04ba8c","yes","no","too close, inaccurate letters"
"0a031013","yes","no","inaccurate"
"51695ce6","yes","no","inaccurate, extra stones below l, i ..."
"55bd524d","yes","no","inaccuare"
"dc1ad7e7","yes","yes",""
"101f3944","yes","no","extra stones , inaccurate"
"6e2425c7","struggle","no",""
"212a2249","yes","no","extra stones below i, l"
"f2a42979","struggle","no",""
"dd901001","yes","no","too close
"
"0b0304df","yes","yes",""
"be012103","yes","no","inaccurate"
"a2a84b3f","yes","no","too close
"
"9557ebd6","no","no",""
"bff2d558","struggle","no",""
"77ccb85d","no","no",""
"1ce8c131","yes","yes",""
"348c42c4","yes","no","inaccurate"
"48a08595","no","no",""
"40cbf7e4","struggle","no",""
"aabfe322","yes","yes",""
"0837902b","yes","yes",""
"79b83bd9","yes","no","inaccurate"
"b3981ef7","struggle","no",""
"771ec772","struggle","no",""
"0649e9ba","struggle","no",""
"7e736d99","struggle","no",""
"1d0f509b","yes","no","inaccurate"
"37d2cce7","yes","no","inaccurate"
"b20906f1","struggle","no",""
"20683b08","yes","no","inaccuratre"
"4242ebe8","struggle","no",""
"b599816c","yes","no","inaccurate"
"49833813","struggle","no",""
"e977e4b3","yes","yes",""
"66e462c8","yes","no","inaccurate"
"aa479c53","struggle","no",""
"9f8aa133","yes","yes",""
"bc9ae6d3","yes","no","inaccurate"
"3a212cdd","yes","no","inaccurate"
"53003dc9","yes","no","inaccurate"
"fa3d9880","struggle","no",""
"d00a1a02","yes","yes",""
"b7c73f2a","yes","no","too close"
"86130e4a","yes","yes",""
"7aa85667","yes","no","inaccurate"
"8bc6397e","struggle","no",""
"30e61701","yes","no","too close"
"0533367c","yes","no","inaccurate"
"f55191b6","yes","yes",""
"f5f6731f","yes","no","inaccurate"
"95b6faa7","struggle","no",""
"1eddf88c","yes","no","inaccurate"
"bedad78b","yes","yes",""
"58a4e85b","yes","no","inaccurate"
"ef0ab067","struggle","no",""
"14cb9202","no","no",""
"961ce5b6","yes","yes",""
"e770929f","yes","yes",""
"ebd38fcf","yes","yes",""
"d0d643d8","yes","no","too close"
